PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtrn
18163,2020-07-07,PG,PROCTER & GAMBLE CO,120.89000,123.25000,122.22000,6866456,0.004851,122.22000,122.25000,121.30000,-0.010264,-0.010268,-0.013507,-0.013517,-0.010819
18163,2020-07-08,PG,PROCTER & GAMBLE CO,122.00000,123.24000,122.89000,6494002,0.005482,122.89000,122.92000,122.15000,0.008437,0.008426,0.006774,0.006748,0.007828
18163,2020-07-09,PG,PROCTER & GAMBLE CO,121.81000,123.98000,122.48000,5341048,-0.003336,122.48000,122.50000,122.82000,-0.005703,-0.005918,-0.013139,-0.013178,-0.005644
18163,2020-07-10,PG,PROCTER & GAMBLE CO,122.47000,124.50000,123.89000,6752789,0.011512,123.89000,123.90000,122.57000,0.010386,0.010374,0.012624,0.012560,0.010466
18163,2020-07-13,PG,PROCTER & GAMBLE CO,123.34000,125.58500,124.05000,7681479,0.001291,124.05000,124.08000,124.00000,-0.011212,-0.011214,-0.010449,-0.010459,-0.009363
18163,2020-07-14,PG,PROCTER & GAMBLE CO,123.50000,125.66000,125.09000,6272344,0.008384,125.09000,125.10000,123.99000,0.013290,0.013178,0.009832,0.009665,0.013406
18163,2020-07-15,PG,PROCTER & GAMBLE CO,124.26000,126.90000,124.50000,8145042,-0.004717,124.55000,124.57000,125.98000,0.011800,0.011781,0.024746,0.024722,0.009082
18163,2020-07-16,PG,PROCTER & GAMBLE CO,123.91000,125.52000,124.76000,3959345,0.002088,124.76000,124.81000,125.08000,-0.004003,-0.004028,-0.001971,-0.002030,-0.003406
18163,2020-07-17,PG,PROCTER & GAMBLE CO,124.83000,126.06500,125.63000,4868609,0.006973,125.63000,125.65000,125.09000,0.003636,0.003598,0.005338,0.005311,0.002849
18163,2020-07-20,PG,PROCTER & GAMBLE CO,124.79000,125.84000,125.24000,4242084,-0.003104,125.24000,125.25000,125.47000,0.008567,0.008563,0.002191,0.002151,0.008407
