PERMNO,date,TICKER,COMNAM,BIDLO,ASKHI,PRC,VOL,RET,BID,ASK,OPENPRC,vwretd,vwretx,ewretd,ewretx,sprtn
21936,2022/7/8,PFE,PFIZER INC,52.76,53.92,53.17,11322704,-0.00468,53.18,53.19,53.05,-0.000824,-0.000887,0.002676,0.002598,-0.00083
21936,2022/7/11,PFE,PFIZER INC,52.75,53.74,52.89,12924938,-0.005266,52.88,52.89,53,-0.013163,-0.013182,-0.016265,-0.016284,-0.011527
21936,2022/7/12,PFE,PFIZER INC,51.705,52.78,52.04,14633528,-0.016071,52.05,52.06,52.69,-0.008058,-0.008074,-0.002621,-0.00264,-0.009244
21936,2022/7/13,PFE,PFIZER INC,51.51,52.31,51.79,12927324,-0.004804,51.79,51.8,51.86,-0.003428,-0.003444,-0.000128,-0.000141,-0.004457
21936,2022/7/14,PFE,PFIZER INC,50.63,51.59,51.39,14023836,-0.007724,51.39,51.4,50.75,-0.005548,-0.005656,-0.010477,-0.010627,-0.002999
21936,2022/7/15,PFE,PFIZER INC,50.43,51.91,51.75,19885710,0.007005,51.72,51.73,51.04,0.018546,0.018543,0.012759,0.012743,0.019201
21936,2022/7/18,PFE,PFIZER INC,50.52,51.97,50.75,15742859,-0.019324,50.73,50.74,51.96,-0.005552,-0.005558,0.000888,0.000849,-0.008364
21936,2022/7/19,PFE,PFIZER INC,50.605,51.51,51.37,13402113,0.012217,51.34,51.35,51.04,0.027381,0.027351,0.022051,0.02203,0.027628
21936,2022/7/20,PFE,PFIZER INC,50.5137,51.46,50.82,12774396,-0.010707,50.81,50.82,51.39,0.007873,0.007861,0.010834,0.010808,0.005896
21936,2022/7/21,PFE,PFIZER INC,50.18,51.14,51.12,15103832,0.005903,51.13,51.14,50.57,0.009349,0.009261,0.004848,0.004749,0.009861
21936,2022/7/22,PFE,PFIZER INC,50.95,51.53,51.23,10932118,0.002152,51.25,51.26,51.26,-0.010469,-0.010481,-0.013783,-0.013814,-0.009332
21936,2022/7/25,PFE,PFIZER INC,51.34,51.875,51.77,12995817,0.010541,51.76,51.77,51.34,0.001988,0.001959,0.001669,0.001661,0.001315
21936,2022/7/26,PFE,PFIZER INC,51.71,52.85,52.3,16632506,0.010238,52.29,52.3,51.84,-0.01184,-0.011849,-0.008892,-0.00891,-0.011543
21936,2022/7/27,PFE,PFIZER INC,51.185,52.2544,51.95,19203522,-0.006692,51.9,51.93,51.94,0.025315,0.025307,0.01808,0.017956,0.026156
21936,2022/7/28,PFE,PFIZER INC,49.1,52.33,50.72,38984890,-0.015977,50.65,50.66,50.845,0.012436,0.012313,0.009486,0.009428,0.012133
21936,2022/7/29,PFE,PFIZER INC,49.28,50.71,50.51,25037899,-0.00414,50.52,50.54,50.56,0.013414,0.013266,0.005708,0.005646,0.014208
21936,2022/8/1,PFE,PFIZER INC,50.15,51.3,50.61,19709862,0.00198,50.6,50.61,50.32,-0.002154,-0.002226,0.000041,-0.000065,-0.002823
21936,2022/8/2,PFE,PFIZER INC,49.63,51.47,49.69,17802024,-0.018178,49.69,49.7,50.9,-0.005244,-0.005251,0.003821,0.003804,-0.006662
21936,2022/8/3,PFE,PFIZER INC,49.34,50.07,49.86,16500076,0.003421,49.86,49.88,49.79,0.014969,0.014945,0.014301,0.014279,0.015638
21936,2022/8/4,PFE,PFIZER INC,49.21,50.045,49.86,17026274,0,49.86,49.87,49.9,-0.000469,-0.000552,0.004259,0.004217,-0.000777
21936,2022/8/5,PFE,PFIZER INC,49.0629,49.97,49.27,16376601,-0.011833,49.24,49.25,49.64,-0.000378,-0.000498,0.00531,0.005246,-0.001626
21936,2022/8/8,PFE,PFIZER INC,48.94,49.81,49.57,16077441,0.006089,49.54,49.55,49.39,0.001213,0.001189,0.009318,0.009293,-0.001238
21936,2022/8/9,PFE,PFIZER INC,49.52,50.11,49.78,12095585,0.004236,49.78,49.79,49.75,-0.006349,-0.006397,-0.013252,-0.013285,-0.004249
21936,2022/8/10,PFE,PFIZER INC,49.38,50.045,49.95,17355136,0.003415,49.93,49.94,49.925,0.022615,0.022567,0.021278,0.021218,0.021291
21936,2022/8/11,PFE,PFIZER INC,47.81,49.13,48.29,44048790,-0.033233,48.29,48.3,48.22,-0.000224,-0.000436,0.003621,0.003515,-0.000705
21936,2022/8/12,PFE,PFIZER INC,48.55,50.39,50.11,25835465,0.037689,50.09,50.1,48.55,0.016856,0.016711,0.01363,0.013452,0.017322
21936,2022/8/15,PFE,PFIZER INC,49.385,50.065,49.75,15797763,-0.007184,49.75,49.76,49.97,0.002804,0.002775,0.001988,0.001938,0.003969
21936,2022/8/16,PFE,PFIZER INC,49.36,50.18,49.86,12874773,0.002211,49.87,49.88,49.38,0.001907,0.001859,-0.001821,-0.00189,0.001876
